CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U05001TN1983PTC010159,SRI MURUGAN FISHEREES CO PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,3000000.00,1700000.00,1983-07-13,"15,4TH NORTH BEACH ROAD,KRISHNAN KOIL ST.,   MADRAS-1.,MADRAS-1.,Tamil Nadu,000000-India",Unlisted,Active,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1986PTC013079,KANYA SEAFOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,400000.00,1986-06-04,"NO.1,3RD CROSS ST,   UNITEDINDIA COLONY,KODAMBAKKAM,,CHENNAI,Chennai,Tamil Nadu,600024-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1988PTC016529,APEX AQUA FARM PVT LTD.,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,100.00,1988-11-29,"135   ANNA SALAI,,MADRAS.,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1989PTC017911,NEITHAL FARMS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,2000.00,1989-08-18,"74/10, GEM FLATS,   ANNA NAGAR WEST EXT,  MADRAS-101,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1992PLC023716,VENTURE AQUA FOODS LIMITED,ROC Chennai,Company limited by shares,Non-government company,Public,1000000.00,700.00,1992-10-28,"36,MCNICHOLS ROAD,CHETPUT,   MADRAS-600031,MADRAS-600031,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1992PTC023235,SIMS IMPEX PVT. LTD,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,2000.00,1992-08-07,"5-A,VIDYODAYA MAIN ROAD,T.NAGAR,   MADRAS-600017,MADRAS-600017,Chennai,Tamil Nadu,600017-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1992PTC023349,ROYAL AQUA PRODUCTS PVT. LTD,ROC Chennai,Company limited by shares,Non-government company,Private,500000.00,0.00,1992-08-27,"36,IV STREET,DHARMAVARAM,T.NAGAR,   MADRAS-600017,MADRAS-600017,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1993PTC024683,SUPER SHRIMPS FARMS PVT. LTD,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,0.00,1993-03-29,"NO.10,III ST,GOPALAPURAM,MADRAS-600086,MADRAS-600086,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1993PTC025804,K.R.R. BIOOFARM PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,2500000.00,60000.00,1993-09-15,"NO.1542, V STREET11TH MAIN ROAD   ANNA NAGAR,MADRAS-600 040,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1993PTC026185,AQUA SEEDS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,7500000.00,7500000.00,1993-11-10,"NO 14 & 15 RAJALAKSHMI AVENUE,(NSK LANE) SALIGRAMAM,Chennai City Corporation,Chennai,Tamil Nadu,600093-India",Unlisted,Active,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1994PLC028444,MARASIM INTECSOF LIMITED,ROC Chennai,Company limited by shares,Non-government company,Public,10000000.00,734000.00,1994-08-29,"7 & 8, DR. RADHAKRISHNAN NAGARP.H. ROAD   ARUMBAKKAM MADRAS 600 106,MADRAS 600 106,Tamil Nadu,600106-India",Unlisted,Active,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1994PTC026810,DEVI PRAWNS PRODUCTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000.00,950000.00,1994-02-17,"NO.10, THIRUTHURAI POONDIVEDARANYAM POST   NAGAPATTINAM,QUIDE MILLATH DISTRICT,Nagapattinam,Tamil Nadu,000000-India",Unlisted,Active,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1994PTC029431,JUPITER SEA FOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,4000000.00,3722000.00,1994-12-06,"COMMERCE CENTREIIIRD FLOOR NO.9,303   ANNA SALAI TEYNAMPET,MADRAS 18,Chennai,Tamil Nadu,600018-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05001TN1995PTC032059,WINDIA AQUA PROJECTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,5000000.00,0.00,1995-06-28,"NO.72,PONDY BAZAAR,T.NAGAR,MADRAS-17,T.NAGAR,MADRAS-17,Chennai,Tamil Nadu,000000-India",Unlisted,Strike Off,tamil nadu,Indian,05001,Agriculture and Allied Activities
U05003TN2022PTC157847,RAHARSH PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,10000.00,2022-12-30,"No 173B, Main Raod, Ko- Poovanur   Virudhachalam TK, Cuddalore, Tamilnadu,Cuddalore,Cuddalore,Tamil Nadu,606104-India",Unlisted,Active,tamil nadu,Indian,05003,Agriculture and Allied Activities
U05004TN2002PTC049700,HUA TONG SEAFOOD EXPORTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2002-10-07,"47, ANNA MAIN ROAD   M.G.R. NAGAR,CHENNAI,Chennai,Tamil Nadu,600078-India",Unlisted,Strike Off,tamil nadu,Indian,05004,Agriculture and Allied Activities
U05004TN2014FTC098160,CP PRIMA AQUACULTURE (INDIA) PRIVATE LIMITED,ROC Chennai,Company limited by shares,subsidiary of company incorporated outside India,Private,50000000.00,40000000.00,2014-11-24,"No.4/15, Rangasamy Illam, Dr.Ranga Road,,Mylapore,Chennai,Tamil Nadu,600004-India",Unlisted,Active,tamil nadu,Indian,05004,Agriculture and Allied Activities
U05004TZ2015PTC022044,DAPANA AGRO MARINE PRODUCTS INDIA PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,200000.00,2015-12-07,"2   UNITY SHOPPING ARCADE,KOTAGIRI,Nilgiris,Tamil Nadu,643217-India",Unlisted,Active,tamil nadu,Indian,05004,Agriculture and Allied Activities
U05110TZ1980PTC000926,LNGSE EXPORTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,20000000.00,1500000.00,1980-03-24,"BALAJI GARDENS   SUGARCANE BREEDING INST POST,COIMBATORE,Tamil Nadu,641007-India",Unlisted,Active,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1990PTC002891,MANAMA TRADE CONTACTS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,100000.00,3000.00,1990-10-10,"195, OPPANAKARA STREET   COIMBATORE,COIMBATORE,Coimbatore,Tamil Nadu,641001-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1993PTC004221,CHITRA BOOKS DISTRIBUTORS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000.00,100000.00,1993-01-28,"29 SWAMY IYER NEW STREET   COIMBATORE,TAMIL NADU,Coimbatore,Tamil Nadu,641001-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
U05110TZ1995PTC006624,EDENKODAI EXPORTERS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000.00,2000.00,1995-10-25,"PARADISE COMPOUND, LAWS GHAT ROAD,   KODAIKKANAL,KODAIKKANAL,Dindigul,Tamil Nadu,624101-India",Unlisted,Strike Off,tamil nadu,Indian,05110,Agriculture and Allied Activities
