CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U50100MH1994PTC077379,BARKHA MOTORS TRADING P.LTD.,ROC Mumbai,Company limited by shares,Non-government company,Private,200000.00,0.00,1994-03-28,"5/6 SHINGRE BLDG.,BORIVALI EAST,BOMBAY-66.,MUMBAI,Maharashtra,000000-India",Unlisted,Strike Off,maharashtra,Indian,50100,Trading
U50100MH1996PLC101313,CREDITLINE MOTORS LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Public,20000000.00,20000000.00,1996-07-22,"PUSHPAK APARTMENT,5TH FLOOR,   31 ALTAMOUNT ROAD,,MUMBAI,Maharashtra,400026-India",Unlisted,Strike Off,maharashtra,Indian,50100,Trading
U50100MH1999PTC123111,GIMM MOTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,100000.00,1999-12-16,"MAHAVIR MARKET , SHOP NO. A61SECTOR -18, TURBHE   VASHI NAVI MUMBAI-400705,THANE,Mumbai City,Maharashtra,000000-India",Unlisted,Strike Off,maharashtra,Indian,50100,Trading
U50100MH2013PTC240448,PRACHI MOTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-02-13,"YOGKSHAME COLONY, VISHWA CORMRE,   JINTUR ROAD,PARBHANI,Parbhani,Maharashtra,431401-India",Unlisted,Strike Off,maharashtra,Indian,50100,Trading
U50100MH2020PTC336538,SHREEAUTO DEAL TRADER PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000.00,10000.00,2020-01-23,"229, NIBR CORPORATE PARK, CTS NO 669 670 & 671   OPP VAISHALI HOTEL, SAFED POOL,KURLA AND,HERI RD, W,MUMBAI,Mumbai City,Maharashtra,400072-India",Unlisted,Active,maharashtra,Indian,50100,Trading
U50100MH2022PTC375165,SUNIL EV MOTORS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000.00,300000.00,2022-01-19,"H.NO-1.5.1293   CANOL ROAD,(M CI),BID,Bid,Maharashtra,431122-India",Unlisted,Active,maharashtra,Indian,50100,Trading
U50100MH2022PTC391188,SALASAR CARS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,5000000.00,2500000.00,2022-09-27,"PRABHANJAN AUTOMOBILES PVT.LTD. SR.NO.55   NAGRIK BUILDERS, STELLA, BARAMPUR,,VASAIWEST,Thane,Maharashtra,401202-India",Unlisted,Active,maharashtra,Indian,50100,Trading
U50100PN2015PTC154284,MAHIMA E AUTO SOLUTIONS (INDIA) PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,500000.00,100000.00,2015-03-09,"Office No.A-229 Part, Jai Ganesh Vision   S.No.171A1,171B,172/2, Akurdi,PUNE,Pune,Maharashtra,411035-India",Unlisted,Strike Off,maharashtra,Indian,50100,Trading
U50100PN2022PTC210983,DEO ETOMOTIVES PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,490000.00,10000.00,2022-05-04,"C-203, BHANSALI CAMPUS CO-OP HSG SOC   VIDYA VIHAR COL,,TUKAI NGR, VADGAON BK,PUNE,Pune,Maharashtra,411041-India",Unlisted,Active,maharashtra,Indian,50100,Trading
U50101MH1997PTC105379,AUDUMBAR SALES AND SERVICE PRIVATE LIMITED,ROC Pune,Company limited by shares,Non-government company,Private,1000000.00,300.00,1997-01-24,"NEAR SHIVAJINAGARSAHAKARI BANK SANGHAVI NAGAR   D P ROAD AUNDH,PUNE,Maharashtra,411007-India",Unlisted,Strike Off,maharashtra,Indian,50101,Trading
